scientific_name,family,genre,alternative_scientific_names,ca_common_name,description,additional_info,islands,habitat,edibility,es_common_name
Agaricus bernardii Quél,Agaricaceae,Agaricus,['Agaricus maleolens F.H. Möller'],['Xampinyó'],"Champiñón blanco con sombrero de casi 15 cm de diámetro que pasa de convexo a casi plano con el centro un poco deprimido y el margen grueso y macizo. Cutícula inicialmente lisa y después cubierta de escames. Debajo del sombrero se encuentran numerosas láminas libres, estrechas, de color rosa salmón a gris carne. El pie de color blanco es irregular, cilíndrico, grueso, lleno y robusto. Éste acaba típicamente en punta y es liso por encima del anillo, que es ínfero, y por debajo puede presentar escamas de color tierra. Las esporas son de color marrón oscuro en masa, de 5,5-8 x 4,5-6 micras","Es poco frecuente. Se puede comer cuando es joven, cuando es adulto huele a pescado",['Mallorca'],"[""Garriga d'ullastre"", 'Pinares y otras coníferas']",Comestible,
Agaricus bitorquis (Quél.) Sacc,Agaricaceae,Agaricus,,"['Bolet', 'Xampinyó']","Este champiñón blanquecino es robusto y globoso primeramente y, con el tiempo se hunde en el centro. Tiene numerosas láminas, apretadas y libres de color carne. El pie es blanco y robusto con fibrillas longitudinales. El anillo de esta especie es muy característico por estar partido en dos o haber dos anillos a alturas diferentes, hecho que puede confundir con la presencia de volva. Las esporas son de color marrón en masa y subglobosas, de 5-6,5 x 4-5 micras",,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']",['Pinares y otras coníferas'],Comestible,
Agaricus campestris L.:Fr. var. campestris,Agaricaceae,Agaricus,['Psalliota campestris (L.: Fr.) Quél'],"['Bolet', 'Pexigà', 'Xampinyó']","Champiñón blanco, blanco sucio, rosado o color tierra, con un sombrero al principio esférico, que después se extiende volviéndose convexo y finalmente plano de 4 a 12 cm de diámetro. La superficie es lisa al principio, pero puede presentar algunas escamas con el tiempo. Las láminas están libres, apretadas, rosadas al principio pasando luego a color chocolate, por el color de las esporas. El pie es corto, cilíndrico y grueso de 3 a 5 x 1 a 2 cm, de color blanco y un poco amarillento en la base y provisto de un anillo membranoso blanco que se pierde fácilmente. Las esporas son de color tierra púrpura, ovoidales, de 7-8 x 4-5,5 micras",Frecuente en las Baleares,"['Cabrera', 'Dragonera', 'Formentera', 'Ibiza', 'Mallorca', 'Menorca']","['Excrements', 'Pastos, prados y jardines']",Comestible,"['Bola de nieve', 'Champiñón de prado', 'Champiñón silvestre', 'Pan de lobo']"
Amanita citrina Schaeff. Pers,Pluteaceae,Amanita,"['Amanita mappa (Batsch: Fr.) Quél.', 'Agaricus citrinus Schaeff']",['Reig bord groc'],"Seta con olor a patata cruda o rábano que tiene un sombrero de 6 a 9 cm de diámetro inicialmente redondeado, carnoso, para acabar abierto y de color variable como amarillo blanquecino, amarillo limón, amarillo verdoso o blanco. Está cubierto por escamas blancas que se separan fácilmente. Debajo de éste, las láminas son blancas o amarillo flojo, anchas y separables. Las esporas son también blancas en masa, subglobosas o alargadas de 8-11 x 7-9 cm. El pie es cilíndrico, blanco, con un anillo membranoso, persistente, alto y un poco estriado. Acaba en forma de bulbo, globoso y con restos de volva",No es tóxica pero su consumo está desaconsejado tanto por las características organolépticas como por la posible confusión con la mortal Amanita phalloides o A. Virosa,['Mallorca'],"['Alzinar', 'Pinares y otras coníferas']",Indiferent,
Agaricus devoniensis Orton,Agaricaceae,Agaricus,,['Xampinyó'],"Este champiñón posee un sombrero de 5 a 8 cm de diámetro, hemisférico al principio pasando a plano y ligeramente deprimido en el centro. La cutícula está disociada en pequeñas escames muy juntas en forma de mechas de color que van del color caramelo al marrón un poco grisáceo y un poco violáceo. Por debajo de éste, las láminas son libres, estrechas, de color rosa salmón a negruzco. El pie es ancho, con pequeñas escamas de color un poco cobrizo que se encuentran en el anillo, por debajo del cual es de color blanco. El anillo es blanquecino, ínfero y abraza el pie, deshilachado hacia el margen. Las esporas son negruzcas en masa, casi redondas, de 5-6 x 4-5 micras","Encontrada en las playas del Trenc y s'Amarador en Mallorca; en la playa des Cavallet de Ibizaa y en la playa de ses Salines, de Formentera","['Formentera', 'Ibiza', 'Mallorca']",['Dunes'],Comestible,
Clitocybe geotropa (Bull.) Quél,Tricholomataceae,Clitocybe,['Agaricus geotropus Bulliard'],['Candela de bruc'],"Seta con el pie de mayor dimensiones que el sombrero. El pie de 10 a 15 cm es cilíndrico y más grueso en la base y de color más claro que el sombrero. Éste de 10 a 20 cm de diámetro, al principio es convexo y con el contorno muy enrollado, pero después se extiende y aparece deprimido por el centro y con un mamellón, conservando en parte los márgenes un poco enrollados. Es de color rosa carne o amarillo ocre muy claro. Debajo del sombrero presenta numerosas láminas muy espaciadas, decurrentes y de color blanquecino. Las esporas son blancas en masa, elipsoidales, de 6-7 x 5-6,5 micras",No es demasiada frecuente. Es un excelente comestible,['Mallorca'],['Alzinar'],Comestible,"['Blanquilla', 'Cabeza de fraile', 'Pampa', 'Platera', 'San Martín ziza']"
Agaricus sylvaticus J. C. Schaeff,Agaricaceae,Agaricus,['Agaricus haemorrhoidarius Schulzer'],['Xampinyó'],"Tiene un sombrero de hasta 10 cm de diámetro. Primero hemisférico para acabar plano y con escamas fibrilosas de color marrón ocre. Las láminas son libres, próximas al pie y de color rosa grisáceo que cambia a negro con el tiempo y con la arista blanquecina. Las esporas son marrones púrpuras en masa, elípticas, de 5-7 x 3-4 micras. El pie lleva un anillo sencillo ancho y blanco, es largo y no muy grueso con la base bulbosa de color blanco y se vuelve rojo cuando lo tocamos",,"['Cabrera', 'Mallorca', 'Menorca']",['Pinares y otras coníferas'],Comestible,
Agaricus nivescens var. squarrosipes P. Collin & Bon,Agaricaceae,Agaricus,,['Xampinyó'],"Seta con el sombrero y el pie blanco nieve, a veces un poco amarillento, sobre todo si se toca. El sombrero puede medir hasta 15 cm de diámetro, inicialmente hemisférico volviéndose casi plano y un poco deprimido en el centro. Las láminas están libres, primero pálidas, después color carne claro y finalmente marrón oscuro, con la arista más blanca. El pie es cilíndrico, un poco más grueso en la base con escames dispuestas en capas por debajo del anillo. Éste es blanco, ancho, grueso, liso por la parte superior. En la parte inferior tiene escamas gruesas dispuestas de forma que parece una rueda de carro. Las esporas son marrón oscuro en masa, ovaladas, de 5-7 x 4-4,5 micras",,"['Cabrera', 'Mallorca']","['Pastos, prados y jardines', 'Pinares y otras coníferas']",Comestible,
Macrolepiota procera (Scop.) Singer,Agaricaceae,Macrolepiota,"['Lepiota procera (Fr.: Scop.) Quél. ', 'Leucocoprinus procerus Pat.', 'Agaricus procerus Scop']","['Apagallum', 'Capell de senyor', 'Paraigües']","Es la Lepiota más buscada por su gran tamaño. El sombrero mide hasta 25 cm de diámetro, al principio cerrado y plegado hacia el pie, adquiriendo una forma parecida a una porra. Poco a poco, el sombrero se va abriendo y volviéndose plano pero conservando un mamellón central no muy alto. La superficie al principio es lisa y marrón, pero cuando se extiende el sombrero se rompe la cutícula en escamas dispersas a excepción del disco central, de forma que el sombrero aparece blanco-rosado con escamas marrones dispersas. Las láminas son numerosas, apretadas y blancas. El pie se ensancha en la base, es muy largo, de 15 a 30 cm y de 1 a 2 cm de diámetro. Además, es típicamente atigrado de color marrón claro con el fondo blanco-rosado. Está provisto de un gran anillo membranoso, fácilmente desplazable por el pie. Las esporas son blancas en masa, elípticas, de 13-20 x 9-13 micras","Sólo se debe consumir el sombrero, puesto que el pie es fibroso","['Mallorca', 'Menorca']","['Alzinar', 'Camps de conreu, vores de camins']",Comestible,"['Apagador', 'Cachiporras', 'Galamperna', 'Galipierno', 'matacandelas', 'Parasol']"
Clitopilus prunulus (Scop.) P. Kumm,Entolomataceae,Clitopilus,"['Agaricus prunulus Scop.', 'Clitopilus orcella Quél']",,"Seta con un sombrero blanco grisáceo muy pálido de 5 a 12 cm de diámetro que lo podemos encontrar convexo, plano y en forma de embudo cuando es más mayor. Tiene el margen enrollado y, con frecuencia ondulado. Debajo de éste se encuentran numerosas láminas blancas que se vuelven rosas por la caída de las esporas. Éstas son fusiformes con seis rayas, parecen hexagonales, de 8-14 x 5-6 micras. El pie, no muy largo, es más grueso y algodonoso en la base y de color blanquecino",Tiene gusto dulce y huele a harina mojada,['Mallorca'],"['Alzinar', 'Pinares y otras coníferas']",Comestible,
